Date,Body,TransactionID,Amount,Category
05/12/2024,"TxId: 26614842768. Your payment of 1,000 RWF to Robert Brown 41193 has been completed at 2024-05-12 17:58:15. Your new balance: 9,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",26614842768,"1,000",Payments to Code Holders
05/12/2024,"TxId: 70497610538. Your payment of 5,000 RWF to Linda Green 75028 has been completed at 2024-05-12 18:08:58. Your new balance: 4,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",70497610538,"5,000",Payments to Code Holders
05/12/2024,"*165*S*1700 RWF transferred to Samuel Carter (250788999999) from 36521838 at 2024-05-12 19:23:50 . Fee was: 100 RWF. New balance: 3080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1700,Transfers to Mobile Numbers
05/12/2024,"*165*S*2000 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-05-12 20:49:30 . Fee was: 100 RWF. New balance: 980 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,2000,Transfers to Mobile Numbers
05/14/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-14 09:10:29. Your NEW BALANCE :5980 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/14/2024,"*165*S*1800 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-05-14 09:11:32 . Fee was: 100 RWF. New balance: 4080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1800,Transfers to Mobile Numbers
05/14/2024,"*165*S*2500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-14 09:27:40 . Fee was: 100 RWF. New balance: 1480 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,2500,Transfers to Mobile Numbers
05/14/2024,"*165*S*500 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-05-14 14:01:57 . Fee was: 20 RWF. New balance: 960 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,500,Transfers to Mobile Numbers
05/14/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-14 19:06:03. Your NEW BALANCE :5960 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/14/2024,"*165*S*1800 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-05-14 19:21:16 . Fee was: 100 RWF. New balance: 4060 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1800,Transfers to Mobile Numbers
05/14/2024,You have received 25000 RWF from Samuel Carter (*********013) on your mobile money account at 2024-05-14 20:57:36. Message from sender: . Your new balance:29060 RWF. Financial Transaction Id: 43668074924.,,25000,Incoming Money
05/14/2024,"*164*S*Y'ello,A transaction of 25000 RWF by DIRECT PAYMENT LTD  on your MOMO account was successfully completed at 2024-05-14 21:01:00. Message from debit receiver: . Your new balance:4060 RWF. Fee was 0 RWF. Financial Transaction Id: 13947831685. External Transaction Id: 47842929.*EN#",,25000,Transfers to Mobile Numbers
05/14/2024,"TxId: 24227321992. Your payment of 1,600 RWF to Linda Green 14166 has been completed at 2024-05-14 21:29:01. Your new balance: 2,460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",24227321992,"1,600",Payments to Code Holders
05/14/2024,"TxId: 18249226395. Your payment of 2,000 RWF to Alex Doe 23199 has been completed at 2024-05-14 21:29:35. Your new balance: 460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",18249226395,"2,000",Payments to Code Holders
05/15/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 09:13:09. Your NEW BALANCE :5460 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/15/2024,"TxId: 98755359894. Your payment of 1,800 RWF to Alex Doe 73050 has been completed at 2024-05-15 09:16:32. Your new balance: 3,660 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",98755359894,"1,800",Payments to Code Holders
05/15/2024,"*165*S*700 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-05-15 15:23:28 . Fee was: 20 RWF. New balance: 2940 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,700,Transfers to Mobile Numbers
05/15/2024,"*165*S*1500 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-05-15 18:04:03 . Fee was: 100 RWF. New balance: 1340 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/15/2024,"TxId: 65789139357. Your payment of 1,000 RWF to Alex Doe 46904 has been completed at 2024-05-15 20:38:44. Your new balance: 340 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",65789139357,"1,000",Payments to Code Holders
05/15/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 23:17:44. Your NEW BALANCE :5340 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/15/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 23:20:36. Your NEW BALANCE :10340 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/15/2024,"*165*S*2800 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-05-15 23:59:11 . Fee was: 100 RWF. New balance: 7440 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,2800,Transfers to Mobile Numbers
05/16/2024,"*165*S*1300 RWF transferred to Linda Green (250789888888) from 36521838 at 2024-05-16 02:03:20 . Fee was: 100 RWF. New balance: 6040 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1300,Transfers to Mobile Numbers
05/16/2024,"TxId: 16913786322. Your payment of 2,150 RWF to Linda Green 20428 has been completed at 2024-05-16 21:35:36. Your new balance: 3,890 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",16913786322,"2,150",Payments to Code Holders
05/17/2024,"*165*S*1500 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-05-17 10:35:37 . Fee was: 100 RWF. New balance: 2290 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/17/2024,"*165*S*1500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-17 18:49:21 . Fee was: 100 RWF. New balance: 690 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/18/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-18 08:11:36. Your NEW BALANCE :5690 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/18/2024,"TxId: 30173936259. Your payment of 1,500 RWF to Robert Brown 52128 has been completed at 2024-05-18 08:15:31. Your new balance: 4,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",30173936259,"1,500",Payments to Code Holders
05/18/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-18 08:48:00. Your NEW BALANCE :9190 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/18/2024,"TxId: 38084447123. Your payment of 6,000 RWF to Jane Smith 48045 has been completed at 2024-05-18 08:48:28. Your new balance: 3,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",38084447123,"6,000",Payments to Code Holders
05/19/2024,You have received 1400 RWF from Linda Green (*********704) on your mobile money account at 2024-05-19 01:49:09. Message from sender: . Your new balance:4590 RWF. Financial Transaction Id: 45738348638.,,1400,Incoming Money
05/20/2024,"*165*S*500 RWF transferred to Robert Brown (250791666666) from 36521838 at 2024-05-20 09:32:49 . Fee was: 20 RWF. New balance: 4070 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,500,Transfers to Mobile Numbers
05/20/2024,"TxId: 32894434269. Your payment of 1,500 RWF to Jane Smith 61445 has been completed at 2024-05-20 16:55:34. Your new balance: 2,570 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",32894434269,"1,500",Payments to Code Holders
05/20/2024,"*165*S*1500 RWF transferred to Robert Brown (250789888888) from 36521838 at 2024-05-20 17:05:45 . Fee was: 100 RWF. New balance: 970 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/20/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-20 17:45:23. Your NEW BALANCE :5970 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/20/2024,"*165*S*1000 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-05-20 17:45:59 . Fee was: 20 RWF. New balance: 4950 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1000,Transfers to Mobile Numbers
05/21/2024,"*165*S*1500 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-21 14:38:14 . Fee was: 100 RWF. New balance: 3350 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/21/2024,"*165*S*1700 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-05-21 17:42:48 . Fee was: 100 RWF. New balance: 1550 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1700,Transfers to Mobile Numbers
05/21/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-21 18:15:06. Your NEW BALANCE :6550 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/21/2024,"*165*S*5000 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-05-21 18:15:41 . Fee was: 100 RWF. New balance: 1450 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,5000,Transfers to Mobile Numbers
05/22/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-22 13:44:11. Your NEW BALANCE :6450 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/22/2024,"TxId: 61189493387. Your payment of 3,500 RWF to Robert Brown 61316 has been completed at 2024-05-22 13:44:59. Your new balance: 2,950 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",61189493387,"3,500",Payments to Code Holders
05/23/2024,"TxId: 37467134419. Your payment of 1,800 RWF to Robert Brown 28481 has been completed at 2024-05-23 09:51:43. Your new balance: 1,150 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",37467134419,"1,800",Payments to Code Holders
05/24/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-24 11:43:17. Your NEW BALANCE :6150 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/24/2024,"*165*S*1800 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-24 11:43:58 . Fee was: 100 RWF. New balance: 4250 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1800,Transfers to Mobile Numbers
05/24/2024,"TxId: 12131092250. Your payment of 1,000 RWF to Samuel Carter 98117 has been completed at 2024-05-24 13:10:41. Your new balance: 3,250 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",12131092250,"1,000",Payments to Code Holders
05/24/2024,"TxId: 35617026753. Your payment of 1,500 RWF to Alex Doe 22692 has been completed at 2024-05-24 16:41:03. Your new balance: 1,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",35617026753,"1,500",Payments to Code Holders
05/24/2024,"*165*S*1600 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-24 18:18:36 . Fee was: 100 RWF. New balance: 50 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1600,Transfers to Mobile Numbers
05/24/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-24 23:04:07. Your NEW BALANCE :5050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/24/2024,"TxId: 59168184137. Your payment of 2,000 RWF to Alex Doe 14717 has been completed at 2024-05-24 23:07:44. Your new balance: 3,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",59168184137,"2,000",Payments to Code Holders
05/25/2024,"TxId: 47570656030. Your payment of 2,000 RWF to Samuel Carter 23701 has been completed at 2024-05-25 04:54:54. Your new balance: 1,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",47570656030,"2,000",Payments to Code Holders
05/25/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 11:18:40. Your NEW BALANCE :6050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/25/2024,"TxId: 95960893947. Your payment of 2,000 RWF to Samuel Carter 19954 has been completed at 2024-05-25 11:19:23. Your new balance: 4,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",95960893947,"2,000",Payments to Code Holders
05/25/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 17:18:07. Your NEW BALANCE :9050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/25/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 17:19:48. Your NEW BALANCE :14050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/25/2024,"TxId: 43786042083. Your payment of 9,300 RWF to Jane Smith 15975 has been completed at 2024-05-25 17:20:20. Your new balance: 4,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",43786042083,"9,300",Payments to Code Holders
05/25/2024,"TxId: 51199793551. Your payment of 2,000 RWF to Samuel Carter 24729 has been completed at 2024-05-25 19:50:55. Your new balance: 2,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",51199793551,"2,000",Payments to Code Holders
05/25/2024,"TxId: 90057863776. Your payment of 1,000 RWF to Jane Smith 55799 has been completed at 2024-05-25 23:47:53. Your new balance: 1,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",90057863776,"1,000",Payments to Code Holders
05/26/2024,*113*R*A bank deposit of 25000 RWF has been added to your mobile money account at 2024-05-26 02:06:45. Your NEW BALANCE :26750 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,25000,Incoming Money
05/26/2024,"You Abebe Chala CHEBUDIE (*********036) have via agent: Agent Sophia (250790777777), withdrawn 20000 RWF from your mobile money account: 36521838 at 2024-05-26 02:10:27 and you can now collect your money in cash. Your new balance: 6400 RWF. Fee paid: 350 RWF. Message from agent: 1. Financial Transaction Id: 14098463509.",,20000,Withdrawals from Agents
05/26/2024,"*165*S*1500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-26 02:24:44 . Fee was: 100 RWF. New balance: 4800 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/26/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :2476.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/26/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :2527.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/26/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :2900.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/26/2024,*162*TxId:14103506143*S*Your payment of 4000 RWF to MTN Cash Power with token 72962-79980-44699-06073 has been completed at 2024-05-26 13:31:00. Fee was 0 RWF. Your new balance: 800 RWF . Message: - -. *EN#,,4000,Payments to Code Holders
05/26/2024,*113*R*A bank deposit of 25000 RWF has been added to your mobile money account at 2024-05-26 14:49:08. Your NEW BALANCE :25800 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,25000,Incoming Money
05/26/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :9591.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/26/2024,"*165*S*25000 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-05-26 14:51:13 . Fee was: 250 RWF. New balance: 550 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,25000,Transfers to Mobile Numbers
05/26/2024,*113*R*A bank deposit of 10000 RWF has been added to your mobile money account at 2024-05-26 15:44:53. Your NEW BALANCE :10550 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,10000,Incoming Money
05/26/2024,"*165*S*10000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-26 16:01:09 . Fee was: 100 RWF. New balance: 450 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,10000,Transfers to Mobile Numbers
05/26/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :4666.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/26/2024,*113*R*A bank deposit of 10000 RWF has been added to your mobile money account at 2024-05-26 17:18:51. Your NEW BALANCE :10450 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,10000,Incoming Money
05/26/2024,"TxId: 65035082869. Your payment of 8,000 RWF to Jane Smith 51116 has been completed at 2024-05-26 17:19:28. Your new balance: 2,450 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",65035082869,"8,000",Payments to Code Holders
05/26/2024,"TxId: 23112980564. Your payment of 2,000 RWF to Robert Brown 11803 has been completed at 2024-05-26 18:46:37. Your new balance: 450 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",23112980564,"2,000",Payments to Code Holders
05/27/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-27 07:57:08. Your NEW BALANCE :5450 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/27/2024,"TxId: 97391079490. Your payment of 1,700 RWF to Samuel Carter 71141 has been completed at 2024-05-27 08:01:47. Your new balance: 3,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",97391079490,"1,700",Payments to Code Holders
05/27/2024,"*165*S*1500 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-05-27 14:45:58 . Fee was: 100 RWF. New balance: 2150 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
05/27/2024,"<#> Dear Customer, your MTN MoMo application one-time password is :0086.MTN MoMo does not recommend that you share or expose your one-time password with anyone. Be Vigilant. RdbS6eMOXvx N/RywfrtIZL>.",,,MTN SMS
05/27/2024,*162*TxId:14121530824*S*Your payment of 2000 RWF to Airtime with token  has been completed at 2024-05-27 18:40:46. Fee was 0 RWF. Your new balance: 150 RWF . Message: - -. *EN#,,2000,Payments to Code Holders
05/28/2024,*113*R*A bank deposit of 30000 RWF has been added to your mobile money account at 2024-05-28 07:21:39. Your NEW BALANCE :30150 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,30000,Incoming Money
05/28/2024,"*165*S*27000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-28 07:22:45 . Fee was: 250 RWF. New balance: 2900 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,27000,Transfers to Mobile Numbers
05/28/2024,"TxId: 28021128029. Your payment of 1,500 RWF to Alex Doe 44654 has been completed at 2024-05-28 17:34:02. Your new balance: 1,400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",28021128029,"1,500",Payments to Code Holders
05/29/2024,You have received 200 RWF from Linda Green (*********691) on your mobile money account at 2024-05-29 14:00:51. Message from sender: . Your new balance:1600 RWF. Financial Transaction Id: 90281203550.,,200,Incoming Money
05/29/2024,*113*R*A bank deposit of 15000 RWF has been added to your mobile money account at 2024-05-29 17:18:18. Your NEW BALANCE :16600 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,15000,Incoming Money
05/29/2024,"*165*S*10000 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-05-29 17:19:05 . Fee was: 100 RWF. New balance: 6500 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,10000,Transfers to Mobile Numbers
05/29/2024,"*165*S*6000 RWF transferred to Alex Doe (250788999999) from 36521838 at 2024-05-29 19:08:37 . Fee was: 100 RWF. New balance: 400 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,6000,Transfers to Mobile Numbers
05/30/2024,*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-30 12:13:58. Your NEW BALANCE :5400 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#,,5000,Incoming Money
05/30/2024,"TxId: 59054859038. Your payment of 1,800 RWF to Jane Smith 39230 has been completed at 2024-05-30 12:14:29. Your new balance: 3,600 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.",59054859038,"1,800",Payments to Code Holders
05/30/2024,"*165*S*1200 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-05-30 17:03:08 . Fee was: 100 RWF. New balance: 2300 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1200,Transfers to Mobile Numbers
05/30/2024,"*165*S*1500 RWF transferred to Robert Brown (250791666666) from 36521838 at 2024-05-30 19:06:00 . Fee was: 100 RWF. New balance: 700 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#",,1500,Transfers to Mobile Numbers
